name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples
AMD A4-5300 APU,26.95,65.0,2012-10-01,FM2,Desktop,3400.0,3700.0,1,2,1,2667,510
AMD A4-5300B APU,25.95,65.0,2012-12-01,FM2,Desktop,3400.0,3700.0,1,2,1,2761,97
AMD A4-6210 APU,0.0,15.0,2014-07-01,FT3b,Laptop,1800.0,0.0,1,4,1,2584,378
AMD A4-6250J APU,0.0,25.0,2014-12-01,Unknown,Unknown,2000.0,0.0,1,4,1,2465,12
AMD A4-6300 APU,42.02,65.0,2013-11-01,FM2,Desktop,3700.0,3900.0,1,1,2,2618,407
AMD A4-6300B APU,27.95,65.0,2013-12-01,Unknown,Desktop,3700.0,3900.0,1,1,2,2691,15
AMD A4-6320 APU,69.99,65.0,2014-04-01,FM2,Desktop,3800.0,4000.0,1,1,2,2545,34
AMD A4-7210 APU,0.0,25.0,2015-07-01,BGA,Laptop,1800.0,2200.0,1,4,1,2454,122
AMD A4-7300 APU,18.8,65.0,2014-09-01,FM2,Desktop,3800.0,4000.0,1,1,2,2578,205
AMD A4-9120,0.0,15.0,2017-09-01,BGA,Laptop,2200.0,2500.0,1,2,1,2804,47
AMD A4-9120C,0.0,6.0,2019-08-01,FT4,Laptop,1600.0,2400.0,1,2,1,3156,19
AMD A4-9120e,0.0,0.0,2019-06-01,FT4,Laptop,1500.0,2200.0,1,2,1,3115,36
AMD A4-9125,0.0,15.0,2018-11-01,BGA (FT4),Laptop,2300.0,2600.0,1,2,1,2783,139
AMD A6 Micro-6500T APU,0.0,0.0,2016-01-01,Unknown,Laptop,1200.0,0.0,1,4,1,2843,1
AMD A6 PRO-7050B APU,0.0,17.0,2014-09-01,FP3,Laptop,2200.0,3000.0,1,2,1,2959,31
AMD A6 PRO-7400B,0.0,65.0,2014-12-01,FM2+,Desktop,3500.0,3900.0,1,1,2,2478,17
AMD A6-1450 APU,0.0,8.0,2013-05-01,FT3,Laptop,1000.0,1400.0,1,4,1,2869,139
AMD A6-3400M APU,24.45,35.0,2011-06-01,FS1,Laptop,1400.0,2300.0,1,4,1,2796,661
AMD A6-3410MX APU,3.99,45.0,2011-07-01,FS1,Laptop,1600.0,2300.0,1,4,1,2785,139
AMD A6-3420M APU,0.0,35.0,2012-01-01,FS1,Laptop,1500.0,2400.0,1,4,1,2721,713
AMD A6-3430MX APU,0.0,45.0,2012-02-01,FS1,Laptop,1700.0,2400.0,1,4,1,2607,45
AMD A6-3500 APU,74.93,65.0,2011-09-01,FM1,Desktop,2100.0,2400.0,1,3,1,2665,268
AMD A6-3600 APU,24.95,65.0,2011-11-01,FM1,Desktop,2100.0,2400.0,1,4,1,2484,131
AMD A6-3620 APU,22.49,65.0,2012-02-01,FM1,Desktop,2200.0,2500.0,1,4,1,2344,308
AMD A6-3650 APU,128.0,100.0,2011-07-01,FM1,Desktop,2600.0,0.0,1,4,1,2251,318
AMD A6-3670 APU,176.59,100.0,2012-01-01,FM1,Desktop,2700.0,0.0,1,4,1,2218,192
AMD A6-4400M APU,27.0,35.0,2012-04-01,FS1r2,Laptop,2700.0,3200.0,1,1,2,2984,806
AMD A6-4455M APU,0.0,17.0,2012-07-01,FP2,Laptop,2100.0,2600.0,1,1,2,3201,208
AMD A6-5200 APU,0.0,25.0,2013-07-01,FT3,Laptop,2000.0,0.0,1,4,1,2469,907
AMD A6-5345M APU,0.0,17.0,2014-04-01,FP2,Laptop,2200.0,2800.0,1,2,1,2866,8
AMD A6-5350M APU,33.12,35.0,2013-07-01,FS1r2,Laptop,2900.0,3500.0,1,2,1,2849,123
AMD A6-5357M APU,0.0,35.0,2013-10-01,FP2,Laptop,2900.0,3500.0,1,2,1,2741,23
AMD A6-5400B APU,28.94,65.0,2013-11-01,FM2,Desktop,3600.0,3800.0,1,1,2,2613,60
AMD A6-5400K APU,52.02,65.0,2012-10-01,FM2,Desktop,3600.0,3800.0,1,1,2,2744,611
AMD A6-6310 APU,0.0,15.0,2014-07-01,FT3,Laptop,1800.0,2400.0,1,4,1,2458,754
AMD A6-6400B APU,0.0,65.0,2014-02-01,FM2,Desktop,3900.0,4100.0,1,1,2,2494,11
AMD A6-6400K APU,51.72,65.0,2013-07-01,FM2,Desktop,3900.0,4100.0,1,1,2,2599,582
AMD A6-6420B APU,0.0,65.0,2014-11-01,FM2,Desktop,4000.0,4200.0,1,1,2,2537,1
AMD A6-6420K APU,149.99,65.0,2014-10-01,FM2,Desktop,4000.0,4200.0,1,2,1,2548,41
AMD A6-7000 ,0.0,17.0,2015-02-01,FP3,Laptop,2200.0,3000.0,1,2,1,2972,26
AMD A6-7310 APU,0.0,25.0,2015-06-01,Unknown,Laptop,2000.0,2400.0,1,4,1,2414,461
AMD A6-7400K APU,29.99,65.0,2014-10-01,FM2+,Desktop,3500.0,3900.0,1,2,1,2507,312
AMD A6-7470K,185.94,65.0,2016-05-01,FM2+,Desktop,3700.0,4000.0,1,1,2,2375,26
AMD A6-7480,36.89,65.0,2019-04-01,FM2+,Desktop,3500.0,3800.0,1,2,1,2328,32
AMD A6-8500P,0.0,15.0,2016-05-01,BGA (FP4),Laptop,1600.0,3000.0,1,2,1,2595,16
AMD A6-8550,0.0,65.0,2015-11-01,FM2+,Desktop,3700.0,4000.0,1,2,1,2501,8
AMD A6-9200,0.0,10.0,2018-03-01,BGA,Laptop,2000.0,2800.0,1,2,1,2928,35
AMD A6-9210,0.0,15.0,2016-07-01,FP4,Laptop,2400.0,2800.0,1,2,1,2742,39
AMD A6-9220,0.0,15.0,2017-08-01,Unknown,Laptop,2500.0,2900.0,1,2,1,2718,163
AMD A6-9220C,0.0,6.0,2019-05-01,FT4,Laptop,1800.0,2700.0,1,2,1,2912,33
AMD A6-9220e,0.0,0.0,2018-02-01,Unknown,Laptop,1600.0,2400.0,1,2,1,2997,57
AMD A6-9225,0.0,15.0,2018-08-01,BGA (FT4),Laptop,2600.0,3000.0,1,2,1,2682,210
AMD A6-9230,0.0,15.0,2017-08-01,Unknown,Desktop,2600.0,3500.0,1,2,1,2725,4
AMD A6-9400,0.0,10.0,2019-11-01,FT4,Laptop,2400.0,3200.0,1,2,1,1902,5
AMD A6-9500,61.03,65.0,2016-12-01,AM4,Desktop,3500.0,3800.0,1,2,1,2334,64
AMD A6-9500E,58.14,35.0,2018-10-01,AM4,Desktop,3000.0,3400.0,1,2,1,2446,3
AMD A8 PRO-7150B APU,0.0,19.0,2014-07-01,FP3,Laptop,1900.0,3200.0,1,4,1,2525,64
AMD A8 PRO-7600B APU,0.0,65.0,2014-09-01,FM2+,Desktop,3100.0,3800.0,1,4,1,1850,107
AMD A8-3500M APU,59.95,35.0,2011-07-01,FS1,Laptop,1500.0,2400.0,1,4,1,2620,255
AMD A8-3510MX APU,77.11,45.0,2011-08-01,FS1,Laptop,1800.0,2500.0,1,4,1,2490,92
AMD A8-3520M APU,55.0,35.0,2012-01-01,FS1,Laptop,1600.0,2500.0,1,4,1,2643,231
AMD A8-3530MX APU,0.0,45.0,2011-07-01,FS1,Laptop,1900.0,2600.0,1,4,1,2522,87
AMD A8-3550MX APU,0.0,45.0,2012-03-01,FS1,Laptop,2000.0,2700.0,1,4,1,2518,13
AMD A8-3800 APU,109.95,65.0,2011-09-01,FM1,Desktop,2400.0,2700.0,1,4,1,2267,162
AMD A8-3820 APU,44.95,65.0,2012-01-01,FM1,Desktop,2500.0,2800.0,1,4,1,2157,129
AMD A8-3850 APU,68.02,100.0,2011-06-01,FM1,Desktop,2900.0,0.0,1,4,1,2074,486
AMD A8-3870K APU,68.04,100.0,2011-12-01,FM1,Desktop,3000.0,0.0,1,4,1,2082,584
AMD A8-4500M APU,56.21,35.0,2012-05-01,FS1r2,Laptop,1900.0,2800.0,1,2,2,2472,1667
AMD A8-4555M APU,0.0,19.0,2012-10-01,FP2,Laptop,1600.0,2400.0,1,2,2,2707,223
AMD A8-5500 APU,58.95,65.0,2012-06-01,FM2,Desktop,3200.0,3700.0,1,2,2,1965,912
AMD A8-5500B APU,49.04,65.0,2013-03-01,FM2,Desktop,3200.0,3700.0,1,2,2,1927,94
AMD A8-5545M APU,0.0,19.0,2013-08-01,FP2,Laptop,1700.0,2700.0,1,4,1,2512,287
AMD A8-5550M APU,0.0,35.0,2013-07-01,FS1r2,Laptop,2100.0,3100.0,1,4,1,2346,452
AMD A8-5557M APU,0.0,35.0,2013-07-01,FP2,Laptop,2100.0,3100.0,1,4,1,2423,151
AMD A8-5600K APU,69.01,100.0,2012-10-01,FM2,Desktop,3600.0,3900.0,1,4,1,1863,1042
AMD A8-6410 APU,0.0,15.0,2014-06-01,BGA769 (FT3b),Laptop,2000.0,2400.0,1,4,1,2394,1502
AMD A8-6500 APU,30.8,65.0,2013-08-01,FM2,Desktop,3500.0,4100.0,1,2,2,1860,522
AMD A8-6500B APU,49.95,65.0,2014-04-01,FM2,Desktop,3500.0,4100.0,1,2,2,1849,60
AMD A8-6500T APU,59.95,45.0,2014-03-01,FM2,Desktop,2100.0,3100.0,1,2,2,2368,7
AMD A8-6600K APU,22.25,100.0,2013-06-01,FM2,Desktop,3900.0,4200.0,1,2,2,1807,993
AMD A8-7050,0.0,15.0,2016-01-01,Unknown,Laptop,1800.0,3000.0,1,2,1,2910,14
AMD A8-7100 APU,0.0,19.0,2014-08-01,FP3,Laptop,1800.0,3000.0,1,4,1,2475,150
AMD A8-7200P,0.0,35.0,2015-07-01,FP3,Laptop,2400.0,3300.0,1,4,1,2171,19
AMD A8-7410 APU,0.0,25.0,2015-06-01,Unknown,Laptop,2200.0,2500.0,1,4,1,2369,1193
AMD A8-7500,0.0,65.0,2016-06-01,FM2+,Desktop,3000.0,0.0,1,2,2,1576,6
AMD A8-7600 APU,31.13,65.0,2014-07-01,FM2+,Desktop,3100.0,3800.0,1,2,2,1721,1707
AMD A8-7650K,38.18,65.0,2015-02-01,FM2+,Desktop,3300.0,3700.0,1,2,2,1769,386
AMD A8-7670K,79.5,95.0,2015-09-01,FM2+,Desktop,3600.0,3900.0,1,4,1,1730,90
AMD A8-7680,44.22,45.0,2019-01-01,FM2+,Laptop,3500.0,3800.0,1,4,1,1625,53
AMD A8-8600P,0.0,15.0,2015-08-01,FP4,Laptop,1600.0,3000.0,1,2,2,2132,28
AMD A8-8650,0.0,65.0,2015-11-01,FM2+,Desktop,3200.0,3800.0,1,4,1,1880,57
AMD A8-9600,66.96,65.0,2017-04-01,AM4,Desktop,3100.0,3400.0,1,4,1,1692,248
AMD A9-9400,0.0,10.0,2016-12-01,FP4,Laptop,2400.0,3200.0,1,2,1,2671,63
AMD A9-9410,0.0,25.0,2016-07-01,FP4,Laptop,2900.0,3500.0,1,2,1,2553,266
AMD A9-9420,0.0,15.0,2017-08-01,Unknown,Laptop,3000.0,3400.0,1,2,1,2568,197
AMD A9-9420e,0.0,0.0,2018-04-01,Unknown,Laptop,2600.0,0.0,1,2,1,2885,75
AMD A9-9425,0.0,15.0,2018-06-01,BGA (FT4),Laptop,3100.0,3700.0,1,2,1,2552,280
AMD A9-9430,0.0,0.0,2017-12-01,Unknown,Desktop,3200.0,3500.0,1,2,1,2491,29
AMD A9-9820,0.0,0.0,2021-04-01,Unknown,Unknown,2300.0,2395.0,1,8,1,1587,1
AMD Athlon 1500+,0.0,0.0,2009-03-01,Unknown,Unknown,1333.0,0.0,1,1,1,3888,2
AMD Athlon 1640B,50.0,45.0,2009-05-01,AM2,Desktop,2700.0,0.0,1,1,1,3583,18
AMD Athlon 200GE,123.89,35.0,2018-09-01,AM4,Desktop,3200.0,3200.0,1,2,2,1486,470
AMD Athlon 220GE,129.0,35.0,2019-03-01,AM4,Laptop,3400.0,0.0,1,2,2,1426,21
AMD Athlon 240GE,135.99,35.0,2019-01-01,AM4,Desktop,3500.0,0.0,1,2,2,1402,30
AMD Athlon 2650e,19.0,15.0,2009-01-01,AM2,Desktop,1600.0,0.0,1,1,1,3766,77
AMD Athlon 2800+,109.95,89.0,2009-03-01,754,Unknown,2133.0,0.0,1,1,1,3743,2
AMD Athlon 2850e,0.0,22.0,2009-11-01,AM2,Desktop,1800.0,0.0,1,1,1,3687,38
AMD Athlon 3000G,89.99,35.0,2019-11-01,AM4,Desktop,3500.0,0.0,1,2,2,1414,328
AMD Athlon 300GE,0.0,35.0,2019-12-01,AM4,Desktop,3400.0,0.0,1,2,2,1449,32
AMD Athlon 300U,0.0,15.0,2019-07-01,FP5,Laptop,2400.0,3300.0,1,2,2,1518,94
AMD Athlon 320GE,0.0,35.0,2021-09-01,AM4,Desktop,3500.0,0.0,1,2,2,1451,6
AMD Athlon 5000 Dual-Core,109.95,65.0,2009-10-01,"AM2,AM2+",Desktop,2200.0,0.0,1,2,1,3094,42
AMD Athlon 5150 APU,98.86,25.0,2014-04-01,"AM1,FS1b",Desktop,1600.0,0.0,1,4,1,2650,184
AMD Athlon 5200 Dual-Core,189.95,75.0,2010-12-01,AM2,Desktop,2700.0,0.0,1,2,1,3097,20
AMD Athlon 5350 APU,149.99,25.0,2014-03-01,"AM1,FS1B",Desktop,2050.0,0.0,1,4,1,2412,634
AMD Athlon 5370 APU,598.68,25.0,2016-04-01,"AM1,FS1B",Desktop,2200.0,0.0,1,4,1,2336,36
AMD Athlon 64 2000+,0.0,8.0,2013-11-01,Unknown,Unknown,1000.0,0.0,1,1,1,3941,2
AMD Athlon 64 2600+,0.0,15.0,2013-11-01,Unknown,Unknown,1600.0,0.0,1,1,1,3811,1
AMD Athlon 64 2800+,99.99,89.0,2009-01-01,754,Unknown,1800.0,0.0,1,1,1,3732,29
AMD Athlon 64 3000+,20.0,89.0,2008-12-01,Socket 754,Desktop,2000.0,0.0,1,1,1,3718,327
AMD Athlon 64 3100+,0.0,89.0,2015-01-01,754,Desktop,1800.0,0.0,1,1,1,3516,1
AMD Athlon 64 3200+,149.95,62.0,2008-12-01,AM2,Unknown,2200.0,0.0,1,1,1,3721,413
AMD Athlon 64 3300+,0.0,0.0,2009-03-01,Unknown,Unknown,2400.0,0.0,1,1,1,3631,10
AMD Athlon 64 3400+,99.95,89.0,2009-01-01,754,Unknown,2400.0,0.0,1,1,1,3699,99
AMD Athlon 64 3500+,79.95,45.0,2008-12-01,AM2,Unknown,2200.0,0.0,1,1,1,3607,386
AMD Athlon 64 3700+,89.95,89.0,2008-12-01,939,Desktop,2200.0,0.0,1,1,1,3609,108
AMD Athlon 64 3800+,131.01,45.0,2009-01-01,AM2,Unknown,2400.0,0.0,1,1,1,3738,235
AMD Athlon 64 4000+,99.95,62.0,2008-12-01,AM2,Unknown,2600.0,0.0,1,1,1,3670,83
AMD Athlon 64 FX-55,65.0,104.0,2009-02-01,939,Desktop,2600.0,0.0,1,1,1,3592,13
AMD Athlon 64 FX-57,0.0,104.0,2009-03-01,939,Desktop,2800.0,0.0,1,1,1,3485,11
AMD Athlon 64 FX-59,0.0,0.0,2013-05-01,939,Desktop,3000.0,0.0,1,1,1,3540,1
AMD Athlon 64 FX-60 Dual Core,0.0,110.0,2009-02-01,939,Desktop,2600.0,0.0,1,2,1,3270,27
AMD Athlon 64 FX-62 Dual Core,270.0,125.0,2009-02-01,AM2,Desktop,2800.0,0.0,1,2,1,3034,21
AMD Athlon 64 FX-74,499.5,125.0,2009-03-01,F (1207),Desktop,3000.0,0.0,1,2,1,3007,2
AMD Athlon 64 X2 3800+,0.0,89.0,2010-05-01,939,Desktop,2000.0,0.0,1,2,1,3432,2
AMD Athlon 64 X2 Dual Core 3400+,0.0,89.0,2010-10-01,754,Desktop,2200.0,0.0,1,2,1,3472,9
AMD Athlon 64 X2 Dual Core 3600+,68.25,65.0,2008-12-01,AM2,Desktop,2000.0,0.0,1,2,1,3424,174
AMD Athlon 64 X2 Dual Core 3800+,0.0,89.0,2008-11-01,AM2,Desktop,2000.0,0.0,1,2,1,3371,788
AMD Athlon 64 X2 Dual Core 4000+,0.0,65.0,2008-12-01,AM2,Desktop,2100.0,0.0,1,2,1,3335,615
AMD Athlon 64 X2 Dual Core 4200+,109.95,89.0,2008-11-01,AM2,Desktop,2200.0,0.0,1,2,1,3308,1000
AMD Athlon 64 X2 Dual Core 4400+,298.95,65.0,2008-12-01,AM2,Desktop,2300.0,0.0,1,2,1,3322,629
AMD Athlon 64 X2 Dual Core 4600+,349.95,65.0,2008-12-01,AM2,Desktop,2400.0,0.0,1,2,1,3262,440
AMD Athlon 64 X2 Dual Core 4800+,149.95,65.0,2008-11-01,AM2,Desktop,2500.0,0.0,1,2,1,3338,482
AMD Athlon 64 X2 Dual Core 5000+,331.49,65.0,2008-12-01,AM2,Desktop,2600.0,0.0,1,2,1,3202,1132
AMD Athlon 64 X2 Dual Core 5200+,60.0,65.0,2008-11-01,AM2,Desktop,2700.0,0.0,1,2,1,3132,899
AMD Athlon 64 X2 Dual Core 5400+,52.99,65.0,2008-11-01,AM2,Desktop,2800.0,0.0,1,2,1,3070,210
AMD Athlon 64 X2 Dual Core 5600+,107.21,89.0,2008-11-01,AM2,Desktop,2800.0,0.0,1,2,1,3064,460
AMD Athlon 64 X2 Dual Core 5800+,29.95,89.0,2009-01-01,Unknown,Desktop,3000.0,0.0,1,2,1,3179,25
AMD Athlon 64 X2 Dual Core 6000+,38.5,89.0,2008-11-01,AM2,Desktop,3000.0,0.0,1,2,1,3054,1055
AMD Athlon 64 X2 Dual Core 6400+,249.95,125.0,2008-11-01,AM2,Desktop,3200.0,0.0,1,2,1,3012,234
AMD Athlon 64 X2 Dual Core BE-2300,0.0,45.0,2011-11-01,AM2,Desktop,1900.0,0.0,1,2,1,3400,2
AMD Athlon 64 X2 Dual Core BE-2350,0.0,45.0,2009-05-01,AM2,Desktop,2100.0,0.0,1,2,1,3425,4
AMD Athlon 64 X2 Dual-Core TK-42,0.0,20.0,2009-07-01,Unknown,Unknown,1600.0,0.0,1,2,1,3422,31
AMD Athlon 64 X2 Dual-Core TK-53,0.0,31.0,2009-02-01,Unknown,Unknown,1700.0,0.0,1,2,1,3468,61
AMD Athlon 64 X2 Dual-Core TK-55,72.74,35.0,2008-12-01,Unknown,Unknown,1800.0,0.0,1,2,1,3484,100
AMD Athlon 64 X2 Dual-Core TK-57,0.0,31.0,2009-02-01,Unknown,Unknown,1900.0,0.0,1,2,1,3373,142
AMD Athlon 64 X2 QL-60,0.0,35.0,2009-03-01,S1,Laptop,1900.0,0.0,1,2,1,3459,127
AMD Athlon 64 X2 QL-62,0.0,35.0,2009-01-01,S1,Laptop,2000.0,0.0,1,2,1,3481,136
AMD Athlon 64 X2 QL-64,0.0,35.0,2009-03-01,S1,Laptop,2100.0,0.0,1,2,1,3369,153
AMD Athlon 64 X2 QL-65,22.0,35.0,2009-11-01,S1,Laptop,2100.0,0.0,1,2,1,3380,133
AMD Athlon 64 X2 QL-66,0.0,35.0,2009-10-01,S1,Laptop,2200.0,0.0,1,2,1,3349,26
AMD Athlon 64 X2 QL-67,0.0,35.0,2009-12-01,S1,Laptop,2200.0,0.0,1,2,1,3414,2
AMD Athlon 7450 Dual-Core,0.0,95.0,2009-04-01,AM2+,Desktop,2400.0,0.0,1,2,1,3190,34
AMD Athlon 7550 Dual-Core,14.95,95.0,2009-05-01,AM2+,Desktop,2500.0,0.0,1,2,1,3107,98
AMD Athlon 7750 Dual-Core,79.99,95.0,2009-01-01,AM2+,Desktop,2700.0,0.0,1,2,1,3029,411
AMD Athlon 7850 Dual-Core,99.99,95.0,2009-05-01,AM2+,Desktop,2800.0,0.0,1,2,1,2947,123
AMD Athlon Dual Core 4050e,0.0,45.0,2009-02-01,AM2,Desktop,2100.0,0.0,1,2,1,3375,39
AMD Athlon Dual Core 4450B,31.0,45.0,2009-03-01,AM2+,Desktop,2300.0,0.0,1,2,1,3261,82
AMD Athlon Dual Core 4450e,14.48,45.0,2009-02-01,AM2,Desktop,2300.0,0.0,1,2,1,3277,104
AMD Athlon Dual Core 4850B,0.0,45.0,2010-10-01,AM2+,Desktop,2500.0,0.0,1,2,1,3254,6
